part_id,mode_survey,group_yn,group_n,include_all_contacts,num_left_out,group_age0,group_age6,group_age12,group_age19,group_age60,group_age,group_cont
2010324,T,0,0,0,10,0,0,0,0,0,No Group Cont,No Group Cont
2010401,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010402,T,1,20,1,NA,0,1,0,0,0,age6-12,Group Cont
2010403,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010404,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010405,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010406,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010407,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010408,T,1,50,0,15,0,0,0,1,0,age20-60,Group Cont
2010409,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010410,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010411,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010412,T,0,0,0,10,0,0,0,0,0,No Group Cont,No Group Cont
2010413,T,1,60,1,NA,0,0,0,1,1,age20-60,Group Cont
2010414,T,1,60,1,NA,0,0,1,0,0,age13-19,Group Cont
2010415,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010416,T,0,0,0,20,0,0,0,0,0,No Group Cont,No Group Cont
2010417,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010418,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010419,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010420,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010421,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010422,T,0,0,0,15,0,0,0,0,0,No Group Cont,No Group Cont
2010423,T,0,0,0,3,0,0,0,0,0,No Group Cont,No Group Cont
2010425,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020101,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020102,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020103,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020104,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020105,T,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020106,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020107,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020108,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020109,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020110,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020111,T,1,100,1,NA,0,0,0,1,0,age20-60,Group Cont
2020112,T,1,40,1,NA,0,0,0,1,1,age20-60,Group Cont
2020113,T,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020114,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020115,T,1,20,1,NA,0,0,0,1,1,age20-60,Group Cont
2020116,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020117,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020118,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020119,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020120,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020121,T,1,50,NA,NA,0,0,1,1,0,age13-19,Group Cont
2020122,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020123,T,1,20,NA,NA,0,0,0,1,0,age20-60,Group Cont
2020124,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020125,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020202,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2020203,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
