part_id,mode_survey,group_yn,group_n,include_all_contacts,num_left_out,group_age0,group_age6,group_age12,group_age19,group_age60,group_age,group_cont
1010418,S,1,30,1,NA,0,0,0,1,0,age20-60,Group Cont
1010419,S,0,0,0,13,0,0,0,0,0,No Group Cont,No Group Cont
1010420,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1010421,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1010422,S,1,30,1,NA,0,0,0,1,0,age20-60,Group Cont
1010423,S,1,50,1,NA,0,0,0,1,0,age20-60,Group Cont
1010424,S,1,20,1,NA,0,0,1,0,0,age13-19,Group Cont
1020101,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020102,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020103,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020104,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020105,S,0,0,0,2,0,0,0,0,0,No Group Cont,No Group Cont
1020106,S,1,60,1,NA,0,0,1,1,0,age13-19,Group Cont
1020107,S,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020108,S,0,0,0,10,0,0,0,0,0,No Group Cont,No Group Cont
1020109,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020110,S,1,41,1,NA,0,0,0,1,1,age20-60,Group Cont
1020111,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020112,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020113,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020114,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020116,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020117,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020118,S,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020119,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020120,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020121,S,0,0,0,5,0,0,0,0,0,No Group Cont,No Group Cont
1020123,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020124,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020125,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020127,S,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020128,S,1,28,0,7,0,0,1,0,0,age13-19,Group Cont
1020129,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020130,S,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020131,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020132,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020133,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020134,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020201,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020202,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020203,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020204,S,0,0,0,3,0,0,0,0,0,No Group Cont,No Group Cont
1020205,S,1,30,0,4,0,0,1,0,0,age13-19,Group Cont
1020206,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020207,S,1,50,1,NA,0,0,0,1,0,age20-60,Group Cont
1020208,S,0,0,0,10,0,0,0,0,0,No Group Cont,No Group Cont
1020209,S,1,20,1,NA,0,0,0,1,1,age20-60,Group Cont
1020210,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020211,S,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020212,S,0,0,0,10,0,0,0,0,0,No Group Cont,No Group Cont
1020213,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020214,S,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020215,S,0,0,0,3,0,0,0,0,0,No Group Cont,No Group Cont
1020216,S,1,30,1,NA,0,1,0,1,0,age6-12,Group Cont
1020217,S,1,30,1,NA,0,0,1,0,0,age13-19,Group Cont
1020218,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020219,S,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020220,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020221,S,1,43,1,NA,0,0,1,0,0,age13-19,Group Cont
